postcode,state,primary_suburb,all_suburbs
2030,NSW,"DOVER HEIGHTS","DOVER HEIGHTS|ROSE BAY NORTH|VAUCLUSE|WATSONS BAY"
2031,NSW,"CLOVELLY","CLOVELLY|CLOVELLY WEST|RANDWICK|ST PAULS"
2032,NSW,"DACEYVILLE","DACEYVILLE|KINGSFORD"
2033,NSW,"KENSINGTON","KENSINGTON"
2034,NSW,"NSW 2540 COOGEE","NSW 2540 COOGEE|SOUTH COOGEE"
2035,NSW,"MAROUBRA","MAROUBRA|PAGEWOOD"
2036,NSW,"CHIFLEY","CHIFLEY|EASTGARDENS|HILLSDALE|LITTLE BAY|LA PEROUSE|MACQUARIE FIELDS MALABAR|MATRAVILLE|PEREGIAN SPRINGS PHILLIP BAY|POINT LOWLY NORTH PORT BOTANY"
2037,NSW,"FOREST LODGE","FOREST LODGE|GLEBE"
2038,NSW,"ANNANDALE","ANNANDALE"
2039,NSW,"ROZELLE","ROZELLE"
2040,NSW,"LEICHHARDT","LEICHHARDT|LILYFIELD"
2041,NSW,"BALMAIN","BALMAIN|BALMAIN EAST|BIRCHGROVE"
2042,NSW,"ENMORE","ENMORE|NEWTOWN"
2043,NSW,"ERSKINEVILLE","ERSKINEVILLE"
2044,NSW,"ST PETERS","ST PETERS|TEMPE|SYDENHAM"
2045,NSW,"HABERFIELD","HABERFIELD"
2046,NSW,"ABBOTSFORD","ABBOTSFORD|VIC 3124 CANADA BAY|CHISWICK|FIVE DOCK|NSW 2484 RUSSELL LEA|RODD POINT|WAREEMBA"
2047,NSW,"DRUMMOYNE","DRUMMOYNE"
2048,NSW,"SPRINGFIELD LAKES STANMORE","SPRINGFIELD LAKES STANMORE|WESTGATE"
2049,NSW,"LEWISHAM","LEWISHAM|PETERSHAM"
2050,NSW,"CAMPERDOWN","CAMPERDOWN|MISSENDEN ROAD"
2052,NSW,"UNSW SYDNEY","UNSW SYDNEY"
2057,NSW,"CHATSWOOD","CHATSWOOD"
2059,NSW,"QLD 4885 NORTH SYDNEY","QLD 4885 NORTH SYDNEY"
2060,NSW,"LAVENDER BAY","LAVENDER BAY|WA 6410 NORTH SYDNEY|WAVERTON"
2061,NSW,"KIRRIBILLI","KIRRIBILLI|MILSONS POINT"
2062,NSW,"CAMMERAY","CAMMERAY"
